feedbackKey,userKey,learningMaterialKey,feedback,rating
1,22.0,274,Pauper audeo cernuus.,3
2,,230,Iste accommodo commemoro maxime confugo villa deficio.,4
3,110.0,21,Copiose curia subvenio suus bibo coma titulus coaegresco.,4
4,185.0,97,Accusamus amplitudo thermae contabesco amissio pel demens.,1
5,136.0,217,Ulciscor comprehendo voluptatum succedo accusamus sed ara.,3
6,,119,Termes cultura virgo est abeo valetudo abeo copiose territo.,1
7,131.0,14,Tergiversatio apparatus depopulo auxilium denique tametsi tenax.,1
8,114.0,112,Tricesimus amo deporto basium triumphus.,2
9,153.0,72,Bis vespillo clarus eaque ascisco voluptatem at.,1
10,,185,Tamisium cito sortitus laudantium acer dolor vesica cresco titulus.,5
11,26.0,10,Angulus solium dolorem stabilis atqui utilis.,3
12,189.0,222,Defero aegrus deripio defungo auctor tego patria confido certe.,1
13,123.0,34,Quos comptus caveo acidus eius nisi comis.,4
14,102.0,171,Desparatus vehemens odit conqueror solum video patruus.,4
15,,272,Aspernatur amitto suppono talis thesis amplitudo animi.,4
16,133.0,238,Veniam desolo sodalitas annus.,3
17,129.0,2,Perferendis textor ultra creptio.,5
18,55.0,13,Alius corrupti vereor nulla.,3
19,9.0,106,Libero correptius sit tenus.,4
20,9.0,39,Socius tamdiu voluptatibus utor ipsa acervus congregatio vetus turpis.,5
21,6.0,131,Argumentum tepidus ullus arguo.,1
22,83.0,78,Defendo custodia tui.,4
23,,182,Cras aeneus astrum conscendo venio triumphus somnus apto.,5
24,,268,Tandem crux ut vesper agnitio dens adeptio arbor blandior.,1
25,25.0,28,Celebrer illo speculum viridis decretum amicitia surgo excepturi autus.,5
26,,110,Statua absorbeo expedita solitudo ventosus ut tertius.,5
27,,73,Timor totam vestigium aegrus aggredior absorbeo aqua umbra veritatis sophismata.,1
28,98.0,21,Vespillo arcesso calco cariosus.,4
29,187.0,112,Tabernus adficio sonitus depereo theca aduro cometes aequitas sponte.,5
30,,234,Abundans cavus patria sui tego verus tot tantum tonsor.,5
31,57.0,90,Vitae viriliter curtus auctor.,1
32,51.0,61,Optio collum celer suscipit conculco aurum communis termes.,5
33,121.0,104,Vulticulus annus communis.,2
34,4.0,265,Ventito uredo carmen.,4
35,60.0,249,Mollitia doloribus curia colo vita neque.,4
36,188.0,277,Deleniti deserunt paens subseco.,3
37,,100,Fuga delectatio summisse quos vestrum creber quam comitatus.,3
38,95.0,139,Vigor cupressus atavus tardus tendo denique torqueo dedico triduana civitas.,5
39,,113,Spiritus agnosco crustulum asporto somniculosus baiulus territo surgo calco.,3
40,186.0,249,Demum sublime acer corrumpo umerus umerus cumque.,4
41,,154,Officia taceo complectus annus.,2
42,2.0,153,Quasi supellex asperiores valens acsi.,4
43,,7,Adnuo apud cito deprecator.,2
44,11.0,79,Accusator saepe textus hic decumbo amaritudo argumentum.,5
45,33.0,47,Unus magnam valde cinis vesper necessitatibus earum.,4
46,153.0,275,Expedita vix cometes stella trans adhuc solvo.,5
47,43.0,7,Capio agnitio qui vulariter amplitudo aurum vulgaris sollicito.,3
48,,98,Confido acer stips asperiores verto concido perspiciatis arbustum adipisci.,4
49,,51,Cubicularis vitiosus substantia crebro suffoco cibo basium.,3
50,,191,Absque suasoria adfectus aqua consuasor.,4
51,,271,Voluptas aeternus aeger validus reiciendis accusator auxilium curtus verbera.,3
52,158.0,198,Suppono laudantium dicta.,3
53,76.0,46,Aedificium error votum volutabrum reiciendis color consuasor toties error.,2
54,,157,Alo vix accedo vallum civis ultra.,2
55,42.0,159,Aeternus unde adicio cursim aperiam tollo nihil.,3
56,183.0,35,Paulatim defendo turba taedium dapifer vindico thorax animi.,2
57,33.0,260,Trucido valens calamitas cernuus.,3
58,5.0,36,Decumbo vorago suadeo atrocitas peccatus degusto id voluntarius.,2
59,,291,Clarus collum vilicus desidero bestia quae cervus vitiosus aliquid.,4
60,120.0,155,Voro cresco sperno facilis venustas adsuesco civis vae audeo coepi.,1
61,,277,Tabella degusto vivo coruscus deporto accusamus corrupti atqui depromo.,3
62,,27,Turba conitor vomito sophismata careo architecto consequatur adeptio molestias.,4
63,4.0,261,Vergo commemoro spectaculum dolorum.,5
64,,263,Doloremque cultura attollo strenuus adipiscor corroboro.,2
65,,110,Demonstro sublime vinco armarium cometes carpo error.,2
66,,294,Admitto solitudo aspicio arcus altus deficio curiositas.,4
67,,100,Consequuntur absorbeo caterva angustus.,3
68,,236,Crur carcer conturbo usus.,1
69,,247,Utor fugiat claro comparo vere.,5
70,145.0,88,Tonsor ars optio autus supellex tepesco stabilis.,4
71,,33,Studio delibero aequitas ipsam carmen ventosus delicate.,1
72,85.0,90,Tum accommodo infit desipio demoror depulso claro demonstro amissio charisma.,5
73,191.0,146,Curiositas uterque abstergo quia repudiandae pax desolo quae decet.,2
74,,239,Aveho neque pauci.,2
75,57.0,125,Clamo unus aestivus adamo eaque color.,2
76,182.0,290,Depereo nulla tempus amoveo auditor vita aegre.,2
77,16.0,118,Curvo vir defendo terga torqueo eveniet assentator necessitatibus depromo.,5
78,,44,Bibo curis consequatur veniam deludo bellicus ratione agnitio brevis.,1
79,,133,Iusto circumvenio libero confero voluptate aequus.,3
80,26.0,281,Video utilis cedo expedita aedificium.,5
81,195.0,216,Officiis verto appono illo aggero vesco stabilis.,5
82,,264,Deripio placeat aspernatur ut.,2
83,60.0,134,Amplexus beneficium degusto in animi benevolentia comprehendo uter eum.,2
84,,141,Toties doloremque natus.,2
85,74.0,181,Timidus attonbitus suus neque cursim suppellex carcer dignissimos.,1
86,,147,Atqui stultus adipiscor deporto caecus optio expedita.,1
87,,23,Vulgo ascisco solus aliqua voluptate perferendis cupio cotidie.,1
88,,264,Tantillus videlicet synagoga.,3
89,,162,Surculus demoror minus admiratio vinco.,4
90,,186,Abeo autus cornu surgo tempus conduco causa tabernus cribro.,3
91,73.0,4,Taceo curia vestrum totidem aegre.,2
92,,152,Demoror derelinquo subseco tabernus.,2
93,,117,Accusamus consuasor attollo absum sponte sursum aliqua.,4
94,9.0,168,Creator vado sub supra stillicidium aequus unus aegre ulciscor.,2
95,,80,Tunc velociter expedita adipiscor velum.,2
96,39.0,66,Approbo cupio nihil adopto theatrum saepe aperio tenus.,3
97,,287,Textor suffoco cupressus cito ubi summa cotidie varius adsuesco suggero.,2
98,142.0,228,Deprimo spiculum astrum defaeco temporibus.,3
99,145.0,85,Desidero bardus audentia vulgus pectus necessitatibus.,4
100,131.0,158,Cariosus voluptas admiratio approbo cado conservo voluptate acies.,5
101,43.0,210,Acervus approbo beneficium contigo contigo pariatur spiritus error creator amicitia.,2
102,39.0,162,Numquam adinventitias cibus quasi defungo absorbeo laboriosam vulgaris.,1
103,46.0,161,Ultio adfero impedit cresco uterque.,4
104,69.0,44,Decretum creber caelestis artificiose debilito ars.,3
105,125.0,32,Traho canto constans cursus umquam aegre decet certe comedo.,1
106,4.0,102,Termes contego nisi tristis tamdiu quasi theca.,4
107,,200,Allatus angelus contra viriliter repudiandae sol.,5
108,189.0,241,Vilicus congregatio desparatus.,4
109,61.0,9,Careo cupressus voluptatum acies delectatio vinco bis termes infit.,2
110,19.0,165,Articulus defleo creo tametsi.,2
111,174.0,299,Vestrum cerno vinitor verumtamen explicabo.,5
112,15.0,208,Celer vinum cinis cinis aliqua cognatus.,4
113,116.0,216,Vereor vos somnus comes tum tum vacuus adsidue charisma.,5
114,105.0,108,Tondeo demoror adsum.,1
115,73.0,129,Sum stabilis commodi et ante.,2
116,,226,Fugit sollers umerus conspergo ago ver caelestis acsi.,1
117,103.0,231,Dapifer studio sperno vulnero beneficium sufficio debitis.,1
118,,169,Quaerat defluo demoror tabula crepusculum aureus coruscus.,3
119,111.0,27,Magnam quae nostrum aduro crastinus.,1
120,150.0,92,Ventus amplitudo depopulo debeo canis dolore aperte.,1
121,,256,Candidus voluptatum utique delicate.,3
122,,100,Compello summisse ambitus theca admiratio cunabula odio comprehendo.,3
123,133.0,66,Corrigo amet vir validus compello verumtamen.,4
124,,294,Congregatio aegre solitudo tenus carus tricesimus.,4
125,74.0,10,Compono deputo crudelis audentia thorax vis confugo sodalitas apud angulus.,4
126,,243,Stillicidium tametsi cultellus.,3
127,,279,Tenuis vulgivagus cribro tredecim decens comptus accusamus.,2
128,,295,Argentum velociter terror fugiat deduco tui caveo veritatis amet.,2
129,167.0,200,Tergiversatio cado provident volaticus et defessus vita.,1
130,74.0,198,Quibusdam expedita crux.,4
131,33.0,19,Cerno peior ultra.,5
132,25.0,137,Validus defendo cetera.,5
133,121.0,268,Cupiditas crustulum esse ocer defendo vos trado sto.,1
134,,269,Absorbeo curto attonbitus cotidie assumenda caveo.,5
135,102.0,46,Coerceo comprehendo aeger delinquo annus.,4
136,175.0,213,Defessus conicio acquiro asper teres correptius.,1
137,196.0,241,Adsidue demonstro decretum quos delectatio.,3
138,86.0,280,Trans tergum demo vulgo perferendis beneficium taceo.,2
139,63.0,261,Delicate aggredior adinventitias civis conspergo ascisco debilito suppellex considero minima.,5
140,72.0,296,Dolores deleo sublime attonbitus.,4
141,63.0,202,Deinde ex vero vorax ad consequuntur.,5
142,176.0,276,Cerno decimus alius umbra corpus carcer totam censura quos iure.,3
143,84.0,273,Tollo utroque cohibeo.,5
144,,72,Tredecim patria comedo amiculum vilis usque.,5
145,35.0,179,Vester canonicus adimpleo laudantium.,3
146,168.0,296,Confugo tolero vito agnosco amicitia abstergo aspernatur adflicto.,3
147,,125,Agnitio illum comparo crinis esse cariosus combibo vestigium.,3
148,,89,Viduo temeritas arbitro cinis.,5
149,1.0,275,Cursim corporis decumbo assentator amoveo auctor.,3
150,132.0,266,Qui curis thorax cetera vos cauda sollicito statua degenero tandem.,1
151,,175,Defluo ipsa beatae cariosus thesis tondeo spargo.,1
152,112.0,282,Vis tremo coepi cohibeo demum celebrer cimentarius.,2
153,,23,Aptus vestrum ullam vix ex arca tyrannus tui.,4
154,136.0,229,Blandior bos ars denuo consuasor.,4
155,,100,Conservo tabernus crustulum certus.,4
156,141.0,4,Ea provident amplus tot depono.,5
157,,124,Peior artificiose crudelis turpis.,1
158,50.0,205,Creator repellendus decor colo solio vinum possimus.,1
159,55.0,187,Ventito cotidie succedo apparatus quas.,3
160,20.0,9,Decor expedita conqueror adfero arcesso.,3
161,,48,Arcus cresco ancilla damno.,3
162,,168,Usus sol adsidue vetus abeo cimentarius contra totus ara socius.,4
163,30.0,79,Spiritus sui talio clementia iste velum ratione uberrime.,5
164,142.0,286,Asporto adsidue abbas argumentum vulgaris.,1
165,166.0,90,Sumo itaque beatus a adamo.,4
166,,121,Urbs comburo deduco thymum canis votum acer.,4
167,118.0,205,Sonitus coepi curtus.,4
168,10.0,187,Venia ea confido.,4
169,,226,Cito atqui cupressus molestiae paulatim tabella claro amitto vacuus.,2
170,,224,Vado in adfectus.,4
171,,38,Aperte nisi peccatus appello ver talis strenuus.,2
172,110.0,82,Decens vulticulus facilis.,3
173,,20,Subseco tabula decor arguo.,5
174,149.0,80,Virtus quos vulgus ater torqueo debilito absens aedificium voluptates testimonium.,1
175,125.0,177,Tolero contra traho vicinus canonicus saepe quod volup laudantium.,1
176,,176,Antea super auxilium auditor alter summopere soleo capitulus temptatio.,1
177,,177,Terra advenio sol deorsum suadeo.,5
178,,278,Toties vesper spoliatio delibero itaque triduana arx cunabula et.,5
179,,263,Paulatim curtus illum sol acquiro bestia arbustum sulum tardus sub.,2
180,88.0,267,Sortitus creo antepono claustrum.,4
181,,223,Ullam adiuvo volaticus cornu conscendo angelus subito altus barba concido.,5
182,140.0,258,Thalassinus iusto et iusto votum volo contra voluptas patruus temperantia.,3
183,,96,Inventore dapifer conatus caelestis.,4
184,31.0,137,Tabgo nulla calculus teneo aut umbra.,3
185,,276,Vomito velum ventito antepono tersus tondeo deprimo suppono confugo censura.,1
186,83.0,219,Nulla capillus coma cogo corroboro antepono alioqui pauci.,1
187,80.0,35,Accendo consequuntur alius itaque sui averto bis illum spiritus.,4
188,86.0,224,Aequitas surculus absum undique adeptio vestigium crapula tribuo aeger.,5
189,41.0,87,Talio trado contra.,3
190,126.0,52,Doloremque timidus stillicidium.,5
191,21.0,132,Amiculum contego tamisium subito apud altus cavus talus vomer arbustum.,4
192,68.0,45,Excepturi admitto atrocitas consectetur censura vado tepesco coma ciminatio.,4
193,155.0,231,Tripudio fuga consectetur venustas vallum.,3
194,139.0,203,Vester dedecor thesis anser accedo articulus clam volaticus tabula.,1
195,,243,Tepesco adulatio villa tumultus tepesco censura adficio admoveo territo charisma.,2
196,10.0,162,Infit verecundia torqueo comburo sollicito adulatio thalassinus.,1
197,73.0,3,Benigne avarus civis sum aeternus color tui sodalitas.,1
198,179.0,193,Vociferor abduco error tonsor tardus aliquam inflammatio suggero.,5
199,,186,Minus amet consequuntur abbas modi repudiandae utpote.,4
200,195.0,5,Canis admoneo titulus atque confido deficio suasoria voluptatibus.,1
201,137.0,115,Admoneo congregatio valens maiores beatae ustulo crur stips praesentium iste.,5
202,74.0,121,Vir aestivus aiunt.,5
203,107.0,277,Canis torrens cena acies umerus ubi laudantium.,3
204,,134,Ab ventosus arca statua absens verto tempora.,5
205,,162,Aliquam vulnero necessitatibus.,1
206,164.0,285,Vulariter eaque desparatus vesco absorbeo decor.,2
207,145.0,215,At adipiscor sodalitas.,1
208,77.0,82,Desidero uberrime carbo derideo campana praesentium celer vestigium.,1
209,186.0,13,Tracto thesaurus cattus.,3
210,50.0,34,Cauda tendo volutabrum atrox decumbo dolore deduco vobis labore.,4
211,,34,Vulgivagus confugo accommodo arto torrens quas creber coniuratio utor.,3
212,4.0,8,Somniculosus thermae decretum totidem cito consequuntur arceo cohors.,4
213,135.0,105,Aro turba totidem adflicto curtus valetudo canis aperte acquiro uredo.,4
214,31.0,274,Vilicus perspiciatis peior.,2
215,,212,Ubi tabula subnecto socius utrimque deficio decet.,3
216,116.0,73,Non appositus somniculosus clam commodi.,4
217,33.0,298,Sophismata tersus aegrotatio verbera deporto valeo annus molestiae conicio articulus.,2
218,69.0,291,Urbs teres voluntarius delinquo audacia subito utor usque comptus.,3
219,,209,Apostolus complectus supplanto iste tantum error.,4
220,104.0,118,Urbs coepi umerus soleo bos corporis appono sufficio aiunt.,2
221,,4,Tabula cunabula tergeo cogito coerceo vicinus cado veritatis aro cohors.,4
222,,28,Corrupti molestiae damno tres sponte canis decet nihil creator comes.,5
223,23.0,250,Votum vel altus quisquam arma thalassinus tum surgo celo.,1
224,162.0,20,Et cresco amita adopto victus tener capio stipes.,4
225,,95,Tripudio vox aggero.,1
226,28.0,95,Decens depraedor dolorem vester coniecto suppono debitis.,5
227,120.0,274,Caritas conturbo voluptatem consequuntur amplus.,2
228,16.0,92,Sopor quidem aperiam allatus vere.,2
229,,256,Paens brevis aspernatur curso.,3
230,160.0,114,Ver adeptio votum adopto.,4
231,,140,Adsum sol antea utor spiculum deputo eligendi aufero tumultus.,2
232,,262,Adulatio degusto umerus subnecto delinquo tabernus.,2
233,4.0,260,Custodia vulariter capillus unde adulescens.,5
234,31.0,205,Arguo dolores decet utpote aetas temperantia delectus vulariter.,5
235,157.0,111,Aperio aestus conculco traho autus accusantium.,5
236,74.0,195,Vos desolo corpus creta tamisium utpote denuncio sperno.,3
237,96.0,86,Taedium mollitia abscido pectus admoneo eveniet.,5
238,156.0,181,Explicabo vaco laborum alii possimus arbustum callide varietas aurum eius.,1
239,87.0,296,Concedo amitto timidus stultus.,1
240,12.0,270,Stipes brevis viscus tempora statim tergeo amaritudo.,2
241,130.0,130,Depereo commodo vesica commodi.,3
242,,52,Vito articulus caelum adfero veniam ex cumque qui dapifer.,1
243,,293,Custodia necessitatibus vir.,1
244,157.0,145,Tibi vergo umerus arto degusto volutabrum enim carpo denique conculco.,3
245,138.0,193,Inventore solitudo corrumpo cunctatio sopor thema atqui confido vicinus.,5
246,44.0,36,Allatus damnatio viduo thesis sperno aer strues casso conturbo.,2
247,,137,Apud bene bellum auxilium umquam antea stultus.,5
248,130.0,129,Tergum decens tener apto clarus super amiculum truculenter.,4
249,164.0,272,Odit sufficio terra.,3
250,,163,Suscipit aufero omnis.,1
251,37.0,83,Victoria iusto claro adicio decipio natus.,4
252,56.0,226,Paulatim soleo comptus curis sint uredo tego repellat speculum.,5
253,159.0,268,Solitudo sollers theologus apparatus.,4
254,,248,Aptus teneo cohibeo nulla absque saepe curo aperiam abutor.,3
255,,190,Cohors voluptatibus quibusdam debilito artificiose repellat.,5
256,,60,Crapula aveho amicitia verbera alius crustulum.,3
257,51.0,217,Nisi benigne terror placeat utor atavus ullam.,1
258,163.0,81,Maiores caterva vado ratione vulnero sortitus cornu defessus earum.,2
259,31.0,42,Vulnero amoveo amaritudo dolore beatus comedo modi credo.,5
260,60.0,110,Bene ustulo depopulo argentum.,4
261,,209,Enim tergum sonitus dolorum.,3
262,,199,Aestivus facere civitas.,3
263,,127,Despecto repellat non aro apud doloribus sustineo.,1
264,,247,Peior vinitor suus surculus depereo cauda cumque clamo.,5
265,177.0,100,Votum defleo sophismata ipsa comprehendo quaerat.,2
266,,215,Molestiae velut non minus occaecati cohaero decipio tunc.,2
267,,235,Adulatio capillus nulla atqui absens nulla.,3
268,,2,Absque adicio venia ambulo tepidus caritas carus cattus absque creta.,2
269,,291,Tempore vere via depereo.,4
270,,137,Thermae convoco admiratio decor aut veritas una canis vulpes curtus.,5
271,,111,Curo terra villa trucido suppellex ustilo supplanto eveniet damno clementia.,1
272,,290,Enim tres adversus acer.,5
273,103.0,191,Accendo speciosus eligendi ullam auctus.,5
274,,13,Vespillo sumptus abstergo inventore accusator in tabesco vilitas.,2
275,,276,Aptus color facere desino.,5
276,42.0,183,Curatio iusto subnecto.,3
277,167.0,159,Ocer demergo defessus cito caute coerceo totam.,4
278,,151,Aliquam aestas magni sustineo odit eveniet rerum.,1
279,158.0,234,Crinis corpus tabesco delectatio.,3
280,32.0,110,Quisquam suggero arto correptius arto ver alienus unde occaecati.,5
281,167.0,24,Terminatio uberrime vinitor.,2
282,,271,Ager terminatio stipes ciminatio textor pecto nesciunt.,2
283,171.0,202,Deporto dolor vivo veniam dicta tenuis audentia acerbitas cilicium.,4
284,,164,Vilis colligo comburo antepono viridis.,2
285,,11,Antiquus dicta ventosus.,3
286,21.0,273,Laudantium benigne bellum thermae.,3
287,,174,Territo terror varius benigne est amor ipsa denuo vinitor.,3
288,26.0,146,Sublime apostolus baiulus.,3
289,,122,Itaque pariatur carbo vilis adflicto.,3
290,139.0,215,Facilis adamo tonsor volup audio.,1
291,,155,Arca certus timor cruentus.,1
292,,59,Summisse altus consectetur adsum desparatus.,2
293,155.0,287,Censura claustrum uter temptatio.,1
294,,185,Pecco nulla advenio viridis.,2
295,168.0,256,Cervus vere tantum delectus alioqui spargo timidus.,4
296,,206,Despecto toties debilito.,2
297,43.0,128,Tertius cresco debeo adfero surgo.,1
298,,37,Cribro desolo viscus iusto vos alveus caritas suadeo.,4
299,,144,Similique caute comburo succedo tui conicio.,3
300,129.0,219,Thesaurus alius cupiditate video solvo conventus una.,4
301,197.0,301,woow ,3
